"scenID"	"scenNum"	"propCens"	"start"	"stop"	"uni_low"	"uni_up"
1	1	0	1	100	99998	99999
2	1	0	101	200	99998	99999
3	1	0	201	300	99998	99999
4	1	0	301	400	99998	99999
5	1	0	401	500	99998	99999
6	2	0.1	1	100	4	22
7	2	0.1	101	200	4	22
8	2	0.1	201	300	4	22
9	2	0.1	301	400	4	22
10	2	0.1	401	500	4	22
11	3	0.2	1	100	4	13
12	3	0.2	101	200	4	13
13	3	0.2	201	300	4	13
14	3	0.2	301	400	4	13
15	3	0.2	401	500	4	13
16	4	0.3	1	100	4	10
17	4	0.3	101	200	4	10
18	4	0.3	201	300	4	10
19	4	0.3	301	400	4	10
20	4	0.3	401	500	4	10
21	5	0.4	1	100	4	8.5
22	5	0.4	101	200	4	8.5
23	5	0.4	201	300	4	8.5
24	5	0.4	301	400	4	8.5
25	5	0.4	401	500	4	8.5
